"barcode","qty"
"8850000011315","1"
"8850000010895","1"
"8850000010893","1"
"8850000010892","1"
"8850000010891","1"
"8850000010894","1"
"8850000052799","1"
"8850000052800","1"
"8850000052796","1"
"8850000052798","1"
"8850000052793","1"
"8850000052794","1"
"8850000052791","1"
"8850000052790","1"
"8850000052792","1"
"8850000006330","1"
"8850000006329","1"
"8850000006401","1"
"8850000006402","1"
"8850000006399","1"
"8850000006398","1"
"8850000006397","1"
"8850000006400","1"
"8850000003343","1"
"8850000003344","1"
"8850000003341","1"
"8850000003340","1"
"8850000003339","1"
"8850000003342","1"
"8850000003337","1"
"8850000003338","1"
"8850000003335","1"
"8850000003334","1"
"8850000003333","1"
"8850000003336","1"
"8850000003355","1"
"8850000003356","1"
"8850000003353","1"
"8850000003352","1"
"8850000003351","1"
"8850000003354","1"
"8850000003349","1"
"8850000003350","1"
"8850000003347","1"
"8850000003346","1"
"8850000003345","1"
"8850000003348","1"
"8850000003454","1"
"8850000003455","1"
"8850000003452","1"
"8850000003451","1"
"8850000003450","1"
"8850000003453","1"
"8850000003448","1"
"8850000003449","1"
"8850000003446","1"
"8850000003445","1"
"8850000003444","1"
"8850000003447","1"
"8850000003466","1"
"8850000003467","1"
"8850000003464","1"
"8850000003463","1"
"8850000003462","1"
"8850000003465","1"
"8850000003460","1"
"8850000003461","1"
"8850000003458","1"
"8850000003457","1"
"8850000003456","1"
"8850000003459","1"
"8850000006784","1"
"8850000006783","1"
"8850000006785","1"
"8850000006775","1"
"8850000006774","1"
"8850000006776","1"
"8850000006781","1"
"8850000006780","1"
"8850000006782","1"
"8850000006778","1"
"8850000006777","1"
"8850000006779","1"
"8850000008217","1"
"8850000008216","1"
"8850000008215","1"
"8850000008218","1"
"8850000006631","1"
"8850000006632","1"
"8850000006629","1"
"8850000006628","1"
"8850000006627","1"
"8850000006630","1"
"8850000008213","1"
"8850000008212","1"
"8850000008211","1"
"8850000008214","1"
"8850000007079","1"
"8850000007080","1"
"8850000007077","1"
"8850000007076","1"
"8850000007075","1"
"8850000007078","1"
"8850000010954","1"
"8850000010955","1"
"8850000010952","1"
"8850000010951","1"
"8850000010950","1"
"8850000010953","1"
"8850000011484","1"
"8850000011485","1"
"8850000010958","1"
"8850000010957","1"
"8850000010956","1"
"8850000010959","1"
"8850000007634","1"
"8850000007632","1"
"8850000007631","1"
"8850000007630","1"
"8850000007633","1"
"8850000008068","1"
"8850000008067","1"
"8850000008069","1"
"8850000008062","1"
"8850000008061","1"
"8850000008063","1"
"8850000008065","1"
"8850000008064","1"
"8850000008066","1"
"8850000004895","1"
"8850000004896","1"
"8850000004897","1"
"8850000004893","1"
"8850000004892","1"
"8850000004891","1"
"8850000004894","1"
"8850000000503","1"
"8850000011437","1"
"8850000011436","1"
"8850000011435","1"
"8850000011438","1"
"8850000011441","1"
"8850000011440","1"
"8850000011439","1"
"8850000011442","1"
"8850000011445","1"
"8850000011444","1"
"8850000011443","1"
"8850000011446","1"
"8850000011449","1"
"8850000011448","1"
"8850000011447","1"
"8850000011450","1"
"8850000006288","1"
"8850000006290","1"
"8850000006289","1"
"8850000006291","1"
"8850000008454","1"
"8850000008453","1"
"8850000008455","1"
"8850000008469","1"
"8850000008468","1"
"8850000008470","1"
"8850000006283","1"
"8850000008451","1"
"8850000008450","1"
"8850000008452","1"
"8850000009406","1"
"8850000008632","1"
"8850000008633","1"
"8850000009405","1"
"8850000008183","1"
"8850000008182","1"
"8850000008184","1"
"8850000008180","1"
"8850000008179","1"
"8850000008181","1"
"8850000007819","1"
"8850000007820","1"
"8850000007821","1"
"8850000007822","1"
"8850000010392","1"
"8850000010388","1"
"8850000010387","1"
"8850000010390","1"
"8850000010389","1"
"8850000007857","1"
"8850000007856","1"
"8850000007858","1"
"8850000006725","1"
"8850000005541","1"
"8850000005540","1"
"8850000005542","1"
"8850000005543","1"
"8850000005544","1"
